company_id,year,sales,net_profit,total_assets,total_liabilities
ABB,Dec 2012,1653,145,907,907
ABB,Mar 2014,2276,198,1139,1139
ABB,Mar 2015,2289,229,1374,1374
ABB,Mar 2016,2614,255,1616,1616
ABB,Mar 2017,2903,277,2066,2066
ABB,Mar 2018,3298,401,2416,2416
ABB,Mar 2019,3679,450,2941,2941
ABB,Mar 2020,4093,593,3547,3547
ABB,Mar 2021,4310,691,3840,3840
ABB,Mar 2022,4913,799,4224,4224
ABB,Mar 2023,5349,949,4556,4556
ABB,Mar 2024,5849,1201,5193,5193
ADANIENSOL,Mar 2014,0,0,0,0
ADANIENSOL,Mar 2015,131,-7,11492,11492
ADANIENSOL,Mar 2016,2194,368,11746,11746
ADANIENSOL,Mar 2017,2876,416,12811,12811
ADANIENSOL,Mar 2018,3944,1143,17265,17265
ADANIENSOL,Mar 2019,7305,559,32558,32558
ADANIENSOL,Mar 2020,11416,706,39711,39711
ADANIENSOL,Mar 2021,9926,1290,43234,43234
